LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID4520 → ID5164,1,4520,5164,13.858242531541112,0.25302222535627916,0.42245154576603583,3.3796123661282866,20.0,242.84377707258352,94.9082336246534,0.0,
ID2752 → ID3135,1,2752,3135,215.49435966688068,0.09316646665874091,2.1497709001328453,17.198167201062763,36.0,256.0537846239671,90.06129378252186,0.0,
ID4452 → ID6487,1,4452,6487,0.43036250926055436,NaN,0.08200252561474045,0.6560202049179236,4.0,242.10587195126726,95.9413363660605,0.0,
ID6487 → ID4520,1,6487,4520,2.5456942969730636,0.277492215125903,0.13886841751159995,1.1109473400927996,12.0,241.6667628543022,95.8861740820328,0.0,
ID5164 → ID2752,1,5164,2752,12.484418134928452,0.059998816343238004,0.5753386486281096,4.602709189024877,28.0,245.95932578753974,92.59655966214622,0.0,
ID3135 → ID4946,1,3135,4946,10.894185857455314,0.02260924182210151,1.1796857178258366,9.437485742606693,44.0,269.31522774795275,89.64325572688523,0.0,
ID4580 → ID6522,2,4580,6522,0.07530359750364332,NaN,0.03430187620224916,0.27441500961799326,4.0,123.67241410296214,114.1324365002911,0.0,
ID6485 → ID4514,3,6485,4514,3.6506159627506722,0.061657054360830466,0.32126110226200566,2.5700888180960453,12.0,428.6993482042178,95.29325245166908,0.0,
ID4453 → ID6485,3,4453,6485,13.963027913369869,NaN,0.46708918971263313,3.736713517701065,4.0,425.65159162815627,95.58085997160214,0.0,
ID2989 → ID5235,4,2989,5235,0.005140482784355757,0.0014182032496740317,0.13997171874445488,1.119773749955639,188.0,283.9721579479933,95.20051558305997,0.0,
ID3390 → ID2293,4,3390,2293,0.6132732633111679,0.01189771145899977,0.42454704214002165,3.396376337120173,100.0,265.54034464146457,96.49184613844302,0.0,
ID5124 → ID2154,4,5124,2154,0.21599267106156933,0.012065469065323423,0.41400931572582816,3.3120745258066253,244.0,300.4712241133701,94.96434356907525,0.0,
