LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID4199 → ID2800,0,4199,2800,0.4541684539729142,8.359989286841305E-4,0.23691994301338432,1.8953595441070745,84.0,48.422155179337985,71.42127126035425,0.0,
ID2446 → ID2976,0,2446,2976,0.9736740195279384,0.008642190139564989,0.3704201542569575,2.96336123405566,68.0,53.221220586787005,70.12466502500395,0.0,
ID3743 → ID3861,0,3743,3861,0.5435350516062253,0.010805171715872326,0.3160408163368144,2.5283265306945153,196.0,29.95181504631781,70.26913595172832,0.0,
ID5215 → ID2558,0,5215,2558,0.5470391269097367,0.0045428347331283505,0.3098656513587169,2.4789252108697353,236.0,15.486280556762424,71.03423466531203,0.0,
ID3532 → ID2664,0,3532,2664,0.05394348094637137,0.04397454595003111,0.06085871759773103,0.48686974078184825,156.0,36.468657527949134,71.45153829392413,0.0,
ID5105 → ID3743,0,5105,3743,0.5083574455006119,0.012943071222100873,0.26346890323031413,2.107751225842513,188.0,32.26653226291814,70.34289074658531,0.0,
ID5371 → ID3717,0,5371,3717,0.10160313849228493,0.005531154298471018,0.328648544058402,2.629188352467216,108.0,40.251729516877695,72.17928540819372,0.0,
ID3861 → ID3220,0,3861,3220,0.31475109807690677,0.01855467408117537,0.34464376632027005,2.7571501305621604,204.0,27.322791362429744,70.08482159824038,0.0,
ID4239 → ID4709,0,4239,4709,15.270080685072454,0.1490786496072873,0.21861723349293594,1.7489378679434875,276.0,0.18857999417218577,74.29104988982024,0.0,
ID3095 → ID4682,0,3095,4682,0.8064824651257625,0.02491292144771453,0.40407977657062394,3.2326382125649915,220.0,21.632952900283854,70.21253546020208,0.0,
ID4054 → ID5187,0,4054,5187,1.0509328077207638,0.26997688089614547,0.02686320727510803,0.21490565820086424,140.0,35.633304140923485,71.68359318169581,0.0,
ID5187 → ID3532,0,5187,3532,0.5455264377411517,0.0504171070919501,0.06630207231022653,0.5304165784818122,148.0,35.98924051638849,71.59634558643113,0.0,
ID3220 → ID3095,0,3220,3095,0.10802769932549247,0.017665413470123327,0.342590676448833,2.740725411590664,212.0,24.587533280621905,69.89154908177261,0.0,
ID3456 → ID4347,0,3456,4347,2.948312504634383,NaN,0.21463313557070407,1.7170650845656326,4.0,70.19386787140938,70.10152942125434,0.0,
ID2884 → ID5300,0,2884,5300,0.02191095484705532,0.00461957783913052,0.23232396332469393,1.8585917065975515,20.0,66.46557416834277,69.52057783433935,0.0,
ID5132 → ID3964,0,5132,3964,0.08401556459292192,0.010455574426938669,0.2934706033054385,2.347764826443508,44.0,59.75726162463874,69.25462480263317,0.0,
ID4910 → ID5105,0,4910,5105,1.4058738761783163,0.030703233467789873,0.237636223988646,1.901089791909168,180.0,34.25187337624581,70.59860841696613,0.0,
ID5129 → ID3800,0,5129,3800,2.424083623317922,0.002956316060391914,0.517024100714278,4.136192805714224,252.0,9.77672793076545,71.9186296153894,0.0,
